Number of Searches: 10
100,0.0000025,0.0000089
10000,0.0001699,0.0014036
1000000,0.0004248,0.1677848
Number of Searches: 100
100,0.0000242,0.0000168
10000,0.0017570,0.0015914
1000000,0.0027864,0.1722578
Number of Searches: 10000
100,0.0024802,0.0010300
10000,0.1661927,0.0027329
1000000,0.2647410,0.1806490
Number of Searches: 1000000
100,0.2609821,0.0833324
10000,15.5677402,0.1553423
1000000,24.6328950,0.3515765

Number of Searches: 10
100,0.0000024,0.0000091
10000,0.0001700,0.0014835
1000000,0.0004245,0.1627453
Number of Searches: 100
100,0.0000235,0.0000165
10000,0.0014416,0.0012720
1000000,0.0025572,0.1619709
Number of Searches: 10000
100,0.0023379,0.0010141
10000,0.1521571,0.0027260
1000000,0.2412926,0.1641353
Number of Searches: 1000000
100,0.2465780,0.0787580
10000,15.3087243,0.1520833
1000000,25.1001496,0.3454632

Number of Searches: 10
100,0.0000031,0.0000118
10000,0.0001722,0.0015572
1000000,0.0004474,0.1725192
Number of Searches: 100
100,0.0000234,0.0000163
10000,0.0015049,0.0017432
1000000,0.0023943,0.1629957
Number of Searches: 10000
100,0.0024316,0.0007686
10000,0.1559855,0.0027927
1000000,0.2434893,0.1636718
Number of Searches: 1000000
100,0.2464365,0.0804031
10000,15.8618028,0.1540915
1000000,25.1033507,0.3489917

